text,category
end ley dialogue purinjitha appo sandaiya neeruthunga da pakkigala,Positive
amy jackson fans kill like button,Negative
adhaan narachu pocheyyy aprm enna naraya naraya naraya nu kathura,Negative
kajal  fans subscribe,Positive
engalukku arasiyal rajini dhan pidikkadhuacting la semmaathalaivaa,Positive
ejjaathy padam   villain voice anyaaayam,Positive
omg kola masssssss thalaiva aaaaaa super,Positive
ena patamo ethala poiyarunga paappa  ajith fans mattuntha poi pakkanum,Positive
dislike pannavan ellamea raththam kakki saavaan,Negative
one man army thaliver mass level,Positive
super vijay sethupathi  from a telugu fan makkal selvan da   ,Positive
enna nadipu ennaa manushan yaa thala na thalaa taan,Positive
bgm is like kaala poraduvom song,Positive
shabaaa ena style ma gun suthuradhu yabba sami inoruthan porandhukuda vara mudiadhu thalaivaa,Negative
bgm ku oru like poduga,Positive
unmai aana thala fana irundha like pannunga,Positive
bulshit akshay tum say tu yeh umeed nahi the,Negative
andha last dance ku ellaarum oru   podungappa,Positive
ini youtube trending la en thala dha so parthutea irukalam,Positive
yuvan nengala manusana ennaaaaa adi therinkka vittinga ponga   ,Positive
daii rajamoulii summa irunthaa singathaa thatti ezhupitiyee daaww shankar vera level pannirukuraru daww eppaaaa  hollywood la illa ithu athuku melaaa,Positive
days kalachi trending la varaa modhal padam nu nenaikuren,Positive
intha movie ku kandipaa problm varum because nalla movie ellathukum problm varum its a masss moviemass bgm,Mixed_feelings
katta waiting in keralaa sk fansss,Positive
paruthiveeran getup la karthi ah epo papom nu wait panuavaga like panuga,Positive
ln  minutes k likes  ajith sir fans like here ,Positive
enpt movie ku yethana peru weit panringa  ,Negative
news  porampoku idha sarkar kuda compare pandran  sarkar vera level  vera level,Negative
sankar sir love yu sir  flimsy media flimsymedia,Positive
kola gandle irukken  rajni sirr,unknown_state
rajini periyapa ninga yeppavume mass tha,Mixed_feelings
marana mass level super star ,Negative
mavane kola kaandula iruken kollama vida maten always showing his class and mass,Positive
tiger  is back  wadakam rajnikant ana,Positive
asuran aadukalampudupettai wada chennaiyellame ore madirida,Positive
blacksheep namma pasanga valaradha paaka evlo sandhoshama irukku blacksheep kuttymoonji ayaz,Positive
enna da fight scene la vachurukkenga,Positive
age is just a number thalaivaaaa,Positive
vera level from karnataka fan  thala fans    ,Positive
this going to be average film like sindubath rekka for vjs,Negative
s kids ku padaiyappaku apram oru tharamana padam,Positive
aiyoo vera leval  thalaaa mass,Positive
evankum anjatha aluya enga thala,Positive
itha kadhai nu trailer eh solita mathri iruku,Mixed_feelings
teaser pathutu olu otavanungala  oora vitu odungada,Negative
thala film ku verithanamana music bgm kodukarathu yuvan  agree,Positive
thala da vera laval yuvan musice super,Positive
any telugu guys  jai ajithsema masss da,Positive
story ku sema expectation irukku  ana last la en da blade krish the dark knight moonuthaiyum bit adichirukkeenga,Positive
last scene he is looking like nani ssrk rocks,Positive
dei vengigala oru trailer kuda oluga eduka mudiyatha,Positive
yarellam dhanush sir ah bayandhu pathinga,Positive
sivakarthikeyanarjun lots of love frm kerala,Positive
 ipo enna panaporo  sweet sapda poro,unknown_state
sk fans from karnataka state    ,Positive
dislike potavanga nalaiku kalaila trending la parunga  with respect from ak fan,Positive
supperb supper  rajini always seemma mass,Positive
thalivar  vj sethupathi  simran trisha,Positive
rajini sir looking younger than ,Negative
look like ravi teja bhagiradha  movie,Negative
ethana peru indha trailer ah times ku mela patheenga ,Positive
ellam mudinju pochu nu  ellarum solla arambikkum pothu anikku pudusa porakuran   namma hero sk                                                ,Positive
sirappana tharamanna sambavatha january  paakaporom,Mixed_feelings
thalaivaaaaaaa  dheeeeivaaa levellll  back to s energy  rajinism o,Positive
indha padathukku mak ah  sokka yoscheenga director sir nalla vela,Positive
like podu ga pa m varevendama,Positive
dei k views than pathu iruki  epdi da k views like panna mudiyum,unknown_state
yenda mask kuda krishn padatha pathu  copy adicirukigaleda,Positive
ella herovum toppla irukkanunga perulayum pannthulaiyum kondu vandha namma last varaikkum naduveralai sappekitte irruppom,Negative
trending list layae illa ppaaa,Positive
bigil movie vera varudhu onga padam,Positive
india vula thala kku mattum thanda mass opening his thala veriyanda,Positive
thalabathy  poster on nd athoda views itha vida adhitgama irkum paarunga  ,Positive
andha look podhum avarru yarunu therinjika,Mixed_feelings
batman jeeva in         batman  sk in hero,Positive
dai kurutu thayoli magangala andha sprite ad da podathenga da muntta kuthiyangala   gotha kadupu maira iruku,Negative
phone yapdi da parakum kuduma panathiga da,Negative
ipo enna panna porom  ahhhh sweet saapda porom,Mixed_feelings
when ajith fans turn into broker mama for kaidhidai mamas kaidhi yum engaluku jeikanum thalapathy,Negative
ippo intha trailer ah parkura angaali pangaali ellaam oru like podunga,Positive
shayad pehli film ye hogi jo bollywood ko copy kiya h,Positive
 hrs  million views   sirappaana tharamaana sampavankal paarka thaan waiting   petta paraaak ,Positive
thala girl fans iku romba piducha padam aa amaiya valthugal,Positive
trailer  pakkupothellam pullarikkuthu sema maas thala brilliant,Positive
n k p thala mass da,Positive
thala da tamilnadu mass da thala da,Mixed_feelings
ena bigiloda release panni floap ayurumunu bayama irukaafloap aanalum nenja nimirndhu dhaiyriyama edhirthu floap aaganum,Positive
mairu ku aamiayans k likes kuda vanga vakkuilla naigala,Positive
thala ayyo sema chancey illa woww yuvan kalalkal,unknown_state
 thala veariyan mattum ennoda channel lai subecribe tamil jio phone tech indian pannuga,Positive
namma kitta kadu iruntha aduthukuvanga poo iruntha pudingikivanga padippa mattum namma kitta irunthu aduthukavey mudiyathu chithambarammass dialogue ya,Positive
dai  dislikes yentha fuda pottan,Positive
thala thala thala thala  thala,Positive
hindi remake but it resembles ellam avan seyal movie also,Mixed_feelings
sam cs sir ku  like podunga,Positive
i love nawazuddin sidiqui hads of rajni sir yash faaaaaan,Positive
first rajini sir and nana patekar sir and now rajini sir  nawazuddin siddiqui what does else we want,Mixed_feelings
ennda three days aaidichu million likes innum varala,Positive
sama music sam cs super trailer vara level ku thariya bgm karanam super ji,Positive
lv you vijay sir          from karnataka,Positive
vijay sethupathi anna oru katathula tharamana padangal kuduthingaa ippo mass films kudukarangra perula mokka padamaa kudukiringaaa,Mixed_feelings
remake of hindi  pink movie,Positive
ennangada ithu viswasam bgm kekuthu   ,Negative
pure white  the king maker da indian cinemala evanayavathu original lookla vara sollunga handsome da enga thala,Positive
yes thalaivar  kolai kandula irukaru irangna adiknum,Positive
haters do not be so jealous  wait for it  pls cool down,Mixed_feelings
 million likes  varum nu solluravunga hit like,Positive
ethu aellam numbura mathriya eruku pommai paddam pola sakthiman ,Negative
t h a l a,Positive
ennanga da bgm la viswaroopam sound lam kekkutha,Negative
you are rocking  chiyaan sir,Positive
siva kita  inime padam koodukathinga,Mixed_feelings
thalaiva aaaaaa aaaa kaali attam super,Positive
thala naale thaaru maaru thaa ultimate star ajith kumar      ,Positive
thala kaga yathana nakal venumanalum wait panuven,Positive
konjam biriyani seen bgm release pandrengala,Positive
ithukku peru thaan thalaivar athiradi  petta paraak,Positive
ayioo ponna azhagulast la paaah thalaivaaa,Positive
evil chitti character kola masss,Positive
nawaz bhai ye kahan chale gaye aap,Negative
really semaa karthik bro bgm vera level,Positive
boss yen treand la katta matangudhu,Mixed_feelings
thalaivaaa romba neram unga teaser ku wait pannitu irundhenipo thaa pakkura,Positive
epa dai padama da idhu vera level la iruku da therika vetu irukanga marana mass,Positive
one day ku views aey  m bigilku likes aey  million in  hours varum mokka pasangala,Mixed_feelings
semma thalavaaa full,Positive
who r all here after avengers endgame tamil dubbing,Positive
dhanush anna vera levelgetup ennu soldravinga mattum like podunga,Positive
samcs enaya panni vechi iruka verithananama irukuya bgm,unknown_state
kicha sudeep fans hit likes,Mixed_feelings
mass mass mass mass vikram sir,Positive
thala epavum first etilium best  thala vazhuga valamudandaily comment panranvanga ellarum oru like podunga,Positive
vijay sethupathi kaaga intha padam paakanu,Positive
yuvan proved again in bgmhe is always king in bgmsdie hard kids yuvan fans please like this,Positive
thala semma  love you thala,Positive
nangalum kola gandula irukom movie paakka,Positive
nerkonda paarvai trailer review ,Positive
komalea semma fit marana waiting bro,Negative
super star awesome vfx kola kuthu,Positive
darbar motion poster theme song orey maari irukunu nenachu inga vanthavanga like pannunga,unknown_state
kadaram kondan movie marana mass waiting,Mixed_feelings
karthi fans happy yo illayo thalapathi fans very happy,unknown_state
i yooo ipaaaaaaa thala semaya erukinga  love you thala,Positive
wt a movi wt aaaaaa moviiisuperb superb,Positive
sprr boss from yash fans karnataka,Positive
super  star  super   hit,Positive
yes it is releasing in kannada,Positive
enna solla edhu solla comments type panna vaartha illa you vetrimaran sir,Positive
thalaivar ku enna pa vaisu ippadi kalakraru,Positive
last dialogue thala to his fans ippayachum purinjikonga,Positive
dhanush anna kku oru national award parcel ,Positive
amazing akki sir and rajni sir,Positive
pakka va rajinified kola gandula waiting,Positive
shankar fans hit like,Positive
korraikum nai kadikathu nu solluvanga  ithulea yea therithu ivalo bayam nu  iraivi ,Positive
enakku therinju rendu padamum blockbuster than,Positive
confirm ithu karthi ku periya black buster agum,Negative
trailer la ivlo visual treat ah   theatre la d kannadilaaaaaaaa,Positive
shivaji la patha slang  sweet sapda porom  verithanam,Positive
vara level oodi poidu oorama poidu oothigi poitu vara thu yenga thalaivaru,Positive
sema na sema na sema naa nee,Mixed_feelings
ajith sir fans lam like pannunga,Positive
adeiiiidhoda stop pannikongapadatha rls pannadhinga damudiyala,Positive
neraya neraya neraya edhirparppu for thala,Positive
 indha scene a pause pani paathavan laa kai thooku,Mixed_feelings
naagalu pongaluku sweet saapda poro talaiva,Positive
nxt farmers script blue sattai maran,unknown_state
tamilrockers dai una nambi than da irukan,Positive
shankar sir tamil cinema voda james camroon,Positive
amma sathiyama sollunga da indha trailer nalla illainu neengalam thirundhave mattingada,Positive
pana maratthula irupathu nonku thala ya ethirthaa sanku,Positive
romba nal kaluchi thalaya opening scene illama pakuran,Positive
thala fans ellarukum good morning yarellam innum pallu valakama trailer parkureenga,Positive
bigil trailer wait pandravanga like ppdunga,Positive
ippo enna panna poram sweet sapada poram,Positive
samma stylaruku thalaiva padam kandipa hit daa   jai thalaiva from ntr fans andra,Positive
crt time la vidama yenya ippadi panringa,Negative
visual  fight  pattasu kelapudhu,Mixed_feelings
mass ajith anna    love you,Positive
marana mass      thala da,Positive
vere level  waiting for movie,Positive
ippa enna panna porom sweet sapda porom,Positive
last dialogue vera level thala,Positive
wow ak is looking very dangerous ,Negative
odanae vanthuruvanunga sk fans likeu commentunu  ,Positive
sethu sir eppadi padam panna aalu ippadi vanthu yulutingala,Negative
cute fight en nenjil vandhu songwhatsapp status,Positive
ithellam hit aguma   doubt thaaan,Mixed_feelings
movie vera level ah iruka pothu,Mixed_feelings
thalaaaaaa veraaa lvl vera lvl vera lvlll,Mixed_feelings
 indha frame la thala vera level la irukaru pa,Positive
keep watching notrending on the way,unknown_state
pink remake bt ajith is looking so damn handsome in it,Positive
rombha naalu ku apparam oru super aana ajith movie paakaporom  good trailer,Positive
bigil      like  kaithi  comment  enaku kaithi dhaan pudichiriku,Negative
 days to go      ,Positive
irukku innaikku meme creators kku nalla concept memes irukku,Positive
vijay anna rasiganin manamarndha valthukal to ajith sir,Positive
look like pink hindi movie remake,Mixed_feelings
ithu than da rajini padam,Positive
anybody notice kutti moonji and ayaz,Positive
naraya naraya naraya naraya  thala mudi naraya,Mixed_feelings
pakathana pora pongaluku kaali oda adatha,Positive
video va pakama like potavaka matum inga likes poduka,Mixed_feelings
 dei evanukavathu pondati kulanthanu sentimentu kintimentu iruntha apdiye odi peyru vivasam,unknown_state
aiyo namba mind vera angaya poguthya sivakumar  ,Positive
ppah samcs yow vera leve bgm ah eruke semmapolice van la erunthu yerangumpothu tat bgm,unknown_state
shankar mass grand great super star rajinikanth great,Positive
 likes thala fans  million likes varanum pangaaigala,Positive
sema vera level thala padathukku marana waiting,Positive
petta trailer sema marana mass waiting,Positive
padamna ithu padam semma message movie great,Positive
dislikes  mattum poda vantha nanbargaluku thala sollum mass dialouge at min,Positive
i am surya fan  but all time favorite superstar,Positive
en kadavulay en thala thaan  thala nee palaandu vazlanum,Positive
thugarathuku munadi trailera pathutu  oru like potutu pongapa apathan namaa getha katalam ok,Positive
no  trending in sg  sri lanka still,Positive
omg  super star rocking,Positive
thala mass bgm pakka mass thala and yuvan masssssss,Positive
nerkonda paarvai thanpa inga pathigala thala oru thatava kuda kanna simitala wow thala vera leval,Positive
diwali ku release panuna nala irukum oru padam vantha diwail colorful la illa,unknown_state
download full movie,Positive
namma thalapathy directorkage oru like podlama,Negative
yenda oru padatha eduka evlo kasthapadranga ava avanum mayiru maari comment panringa potta pasangala ithuku mela ennada graphicsku,Negative
eala sottatrailer  nallavae illa vijay sethupathi than mass avarukaga pakkalam,Mixed_feelings
enada konjam mad max mathiri iruke ,Negative
see  to  yaru da ivan kabali dakaalaipo kaali yakaali dhan empty,Positive
neraya neraya yethir pakurom padutola varuma,Positive
vijay fans parthavanga like podunga,Positive
adchi oda vidu ellarayum orama nadandhu varareda enga thala veerama  thala bloods hit like her,Positive
      you bgm  goosebumps,Positive
style a irukena paaaah s rajni is back thalaivaaaa thank you so much karthik anna,Positive
petta trailer vara level makal selvan vijay sethupathi fans and thalaivar fans hits like,Positive
yennada  tin padam directora nadikka vecchirukinga,Positive
reslese kku piraku yar yarellam paakkenkalike podunka,unknown_state
superstar coming back  petta pattaya iriki,Positive
awwwwwwwww what a cute stylesirusukum un styleyelusukkum un stylepersukkum un style,Positive
thalaaa mass look but pink movie laaaa fight illaaa but thalaaaa ithulaaaa semaaaa mass ooo masss,Positive
ipdiii nerya nerya nerya nerya  ,Positive
 waiting veriyans like  here,Negative
avengers endgame tamil dubbing  movie ah asingapadithuttu ne trailer release pandriya  unnoda movie edumae odathuda,Negative
bairavaa feeel pa  vjs evlo masssa panuvarunu naan edhur pakala wishes from all thalapathy fans,Positive
batman krish atharva nadicha oru padam,Positive
angeee ellam viswasam trailer parthaaa nambee ingee petta parpomm,unknown_state
sarkar cannot beat  hahahahaha always thalaiva superstar rajinikanth,Positive
ilaya super star thalaivar dhanush vaazhga,Positive
thala mass dialogue you r great,Positive
youre lie lie lieing   avara cntrl panunga plzzzz like cntrm pana mudyathu,Negative
intha diwali ku iruku aaaappppu iruku but yarukunu na sollamata,Positive
bro enna view apdiye irukku hang ahiducha,Positive
indha movie semma interesting ah irukum pola oru song kuda illa,Negative
thala mass nu soldra vanga like podunga,Positive
suma comedy panathingada intha padam enna reallifeah  poda neengalum,Positive
thala pola varuma  ultimate star,Positive
dei thumbnail la maathura bihar kaaran maari ye iruku,unknown_state
bat man  trailer patamari iruku,Positive
sweet sapta poromlast dance semma,Mixed_feelings
i am big fan of ajith kumar  forever endever,Positive
intha time sirappana tharamana thalaivar pongal irukku,Positive
wtf mank dislikeswats der to hate in diz trailer  ,unknown_state
hostel warden ahini tamilnattukke kaaval avar thane,Negative
super  thala  vera level,Positive
pink trailer vs nerkonda paarvai trailer,Positive
trailer nala iruku but full irutulafilmeduthrukaka suriya velicham ila kandippa filmoduthannu santhegam thaan,Positive
awesome awesomeness awesome style king is back,Positive
mass la pakka mass thalaivar athiradi,Positive
all i understood from this video was vikram likes dosai,Positive
chiyan vikram fans  hit like bgm likers,Positive
thalaivar thalaivar dhan ya   enna energy enna maasu mmale kola veri,Negative
vera lvl romba nal ku apporam ajith sir on full form nalla velaiku siruthai siva thollai inni illai,Positive
 thalaivar dance like bijili rameshhit like if you feel same,unknown_state
it still looks like a fan made trailer,Positive
le batman i quits my job,Positive
thalivare vanakkam makkal selvan fans like podunga pappom,Positive
thalaivar looks like sivakarthikeyan in ,Positive
saguratha irutha sanda potu saganum yar kallaium vizla kudathu   no fear,Negative
 million views  hours k like how is possible total fake likes,Positive
ultimatestar  thala vera vera vera level nerkondapaarvai,Positive
o sec la mbl uh vachhi akahay kumar veraa leveldir shankar done massive,Positive
sahoo tamil  teaser  million view nkp just ,Positive
anna vera levelpaande ungalukku arumaiyana munnetram,Positive
mn likes target achieve agumnu namburavaga like pannuga,Positive
krish la vera costume marae irukku   ,Positive
vijay fans like here for thalaivar petta,unknown_state
who is here after movierulz  but asuran,Positive
kadisi varaikum epadi yenda white hair la katuringa avaruku avalo onum vayasu hagalaye,Positive
after a long time different aana ajith movie after mangatha idhu dha nala irukum nu nenaikuren,Positive
wow million views k likesvaazhga rajnikanth,Positive
na thalapathy rasigan but thala mass tha,Positive
always super star ma rajini sir,Positive
semaaaaaaaa ethirpaatha maathiriye summa athuruthille biggest indian movie from tamil cinema,Positive
thala pola varuma  thala eppavume mass vera leval,Positive
aur ye pihu movie ki tarah h means puri copy koun sehmat h,Mixed_feelings
thalllaaaa thalapathy unn kita kuda varamutiyadhu,Positive
nadaka kudathuna  director  s film nadaka vidamaatanna athu thala film,Mixed_feelings
semma karuthu at the end  saavuradha irundhalo sandapotu saavanum bayandhu kaalla uzhundhu saava koodadhu,Mixed_feelings
dislike poota vijay anna fans hit like,Positive
sk fans like arjun fans comments podunga,Positive
semma padam hit aaga ennodaiya valthukal,Negative
vera level dhanush anna gv bgm,Positive
kadasiya vara dialogue dislikes pottavangaluku correct ta irukku ,Positive
superb trailer rajni sir and akki bro  gazab ka trailer hai  blockbuster movie  ,unknown_state
sam cs bgm vera level  ,Positive
rajini  shankar fans hit like,Positive
super star awesome action stylish king rocks petta pongal da viswasam parruppalam inga vegathuda,Positive
trending  no   sk fans like pannunga,Positive
next award ah yov ennaya       ,Positive
bigil a vida sema karthi anna,Positive
dei ennada panni vechu rukinga pink  padam pochada,Positive
yeanda ivlo stylish aana role ku  punch dialogue kuduthu saavadippeenga,Positive
unnaku enna pa hero padathala la nadikira,Positive
ada cha enna ivalo kevalama iruku,Negative
yenada comment ah vida dislike extra va irukku,Mixed_feelings
konjam comedy ah irruku aanalum mass ah irruku,Positive
waiting for thala naraiya naraiya naraiya naraiya,Positive
 talaivar semma mass  dialogue super,Positive
likedanush comments surya yaru mass nu parkalam iam danush,Positive
petta vs viswasam like  petta comments  viswasam,Positive
sama thalaaaa i am waiting,Positive
last dialogue perfectly fit for ajith fans gotha unga thala soldraru ketukongada potta pasangala,Negative
thala na mass thala mattum thaaan masssssssss,Positive
intha k dislikes la  vijay makkan fans chinna payaluga,Negative
k dislikes potavangaluku avalovu veriyada  mudinjatha pannikongada thala thaan gethu,Positive
dey enga da  namma makkalselvam dialogue eh kanom,Positive
super semma thalaiva vera level,Positive
apdiye doom trailer patha maathiriye iruku,Positive
 million views likes kodu varum thala fans support nkp trailer,Positive
one like for akshay kumar fans,Mixed_feelings
 that moment kottaisami thalaikeela dhan kuthipen,Positive
orutharuku viswasama irukirathuku aduthavangala yen asinga paduthanumk dislikethirunthatha jenmangal iruthenna laabam,Mixed_feelings
last ta ajith sir sonna dialoge yengala mathiri vijay anna fans ku orutharukku viswasama ierkurathukku yen iennoruthara kasta baduthuringa,Positive
watched bigil and kaidhi bigil good kaidhi verithanam,Mixed_feelings
thalai rasika matume neraiya fans irukanga apparam natipa rasika veriyoda irukanga,Positive
nalla bass ulla headphones la inda trailer ah parunga vera lvl effect bgm king uvan,Positive
thalaivar dance ku oru like ka podu,unknown_state
 sec mari pubg laa erundha ,Positive
konjam oothinguru odi pathungiru varathu thalaivaru,Positive
dhanush annan asuran  manjuchechi  vetrimaran,Positive
arjun sir hero level  mass,Positive
super sankar sir waiting for ,Positive
marana mass  thalaivar vera level la irrukkar ivarku ellam vayasu eh kedaiadhu,Positive
thala eppudi nee kannaye simutaama dialogue pesara  sema pa thala takkar doi,Positive
super star na summa va super,Positive
petta maranamas  super star come back,Positive
enna da telugu padam maariye eduthu vachi irukeenga idhu vjs style illaye,Negative
naamattum thaan  dhadavaiku mela paarthena,Mixed_feelings
mass mass mass mass mass mass mass masssss,Mixed_feelings
who the mother fuckers dislike this video,Negative
yow ennaya trailer la vere level la irukku padam pathae agum polaya first day va apo,Positive
deivmay ungluku cmdy vrathu so try pnathngh mokkya iruku   mathapdi actn lve lm ok ,Negative
konjam yoshirukalam fire truck kuptu thanni pachiruntha ella phone vela senjirukathu yosingaya,unknown_state
padathuku national award kedaikanum ninaikiravanga like pannunga,Positive
kotha trailer ah da idhuidhu theriyama enka thalapathy kooda indha director sernthutane thalapathy image damage panna poran mattum theriyudhu,Mixed_feelings
phill mokka kaithi super aollravanga like podunga,Negative
thala  we want ar rahman,Mixed_feelings
all thala fans ellaarum oru addadance pottudu ponga,Positive
yuvan shankar raja  love  yuvan vijay,Positive
aprom en dhoom  copy adikareenga saaar,Positive
viswasam pesama post pannidunga illati kaali dha,Positive
hindi version dekho ye h link,Negative
thalaiva marana mass ayyo super summa therikka vitturinkinga  ,Positive
vikram sir ella costumum ella characterum unga orutharuku thaan suit akum,Positive
dislike panuvangge there more you dislike the more likea da kothi,Negative
superstar movie mass koanjam kooda illa,Positive
blockbuster pakkavijay sethupathibobby simhanawazuddin and rajniyappa super cocktail,Negative
sun tvepo deleted scenes of petta release panna poringa,unknown_state
vera level la udampa maintain panrenga chiyaan sir,Positive
abhay deol enna nadippu   super,Positive
rajni sir vanakkam pleas release hindi trailer i am big fan of rajni thalaiwa sir,unknown_state
yaralaa trailer pathuttu erukinge like podunge,Positive
thalana thala than naan thala ser fans paaa,Positive
thalaiva vera vera vera leval pakka mass get rajinified,Positive
indha maari trailer kku ellam evan da unlike panradhu,Positive
innum niraya niraya niraya niraya m thevai pangaaligala,Positive
innum  m likes varala whyyyy,Mixed_feelings
super stars jammed packed in petta movie semma,Positive
super  i waiting  ,Positive
padathula arjun dha mass aa irukka poran trailer laye arjun dha pakka mass,Positive
ithukakathan thala nanga wait pannom,Positive
thalaikku makeup eh theve ila  salt n pepper luk thaan mass   ,Positive
yaarlam bigil trailer pakkama indha trailer pakiriga,Positive
oru manushuna alichidalam avanukaga vecha silaiya odachidalam aana avan sindhanayum sidharnthayum yaaralum alika mudiyadhu,Mixed_feelings
first bgm keka vanthu trailer pathu i am impressed lot yuvan sk,Positive
mokka traileru itha poi nalla padamnu solringa ponga sir,Negative
   mokka punda aamaiinnu neega m likes vaangalayada poy evandhaya pudichu ngada,Negative
mass tha vetri maaran thanush kootani eppavume mass tha,Positive
ithu yellam oru padam  yenda padathuku poonam aschu,Negative
thalaiku intha getup semmaiya iruku voice romba bolda iruku  super thala,Positive
ippo comment padikiravanga oru like podunga,unknown_state
different genre la thala thala kaana mass  trailer climax laysr  idhu mela enna venum,Positive
               nerkondapaarvaitrailer crossed  million views,Positive
teaser mokka nu kalaicha pasangalam ippo ennada soldringa shankar always mass,Positive
intha vaati banner  feet varnum,Positive
thala veera level from pawan kalyanfans,Positive
pangu pangu thalaivar vaararu side ku odhungu  petta daaaaa,Positive
kandipa rajini sir ku come back film irukum ena nanba,Mixed_feelings
dhanush and vetri maran fans yaar yaaru oru like podunga,Positive
classmass vartha varala sema wowwwwwwww wowwwwwwww wowwwwwwwwwwwwwwwwwwww,Positive
lite ah dark knight vaada varudhu,Positive
indha trailerkku dislike pandra anils ahh marundhu adichi kollunga da,Positive
cell phone aakathuna apparam yathuku mobile trailer release panrenga,Mixed_feelings
dis like potavunga pundaya muditu ponga da,Positive
rip baahubali  crore movie loading   ,Negative
indha padatha kandippa netla paakkanum vengai mavanukku ini seruppadidha,Negative
mokka music everindha madhri music lam hj aadi kaalathulayae kuduthutaaru,Negative
yaralaa  gb video pakuruku pathame pogudhu,Positive
 you kena tunggu lebih lama lagi untuk tahu saya,Negative
yov sathiama indha manushanuku vayasu aguma agadha ya  pullarikudhu ya ivara pathale  ,Negative
padam fulla night la eduthurkanga    oru  vela night movie ya,Negative
great dark vetrimaaran dhanush gvp  kalaipulithanusir master piece,Positive
yella intro textum pixel lab la panirkanglo,Positive
vera level la irukkum polaye all the best sk,Positive
inum niraya niraya niraya ethirpakra  love you thala,Positive
sam cs  king of bgm,Positive
antha thenna maram shot pathathum yaaruku yellam aaa padam nyabhagathuku vanthuchu,unknown_state
thala vera level massss m likes soon,Mixed_feelings
vetrimaran and gv prakash verithanam,Positive
sundra pandiyan la paatha maaariyae illa,Mixed_feelings
tamilrockers la paatha verithanam ah irukum pola,Positive
theeran adhigaaram ondru fans hit like here,Mixed_feelings
youtube ange view illa like varuthu,unknown_state
semma timing ippo dha asuran hit aachu aduthu same journal aa kaithi    vera level,Positive
koi hindi janane bala comment padh raha hai like karo,Positive
taramaana sambavam pongalukku irukku le,Positive
anils dislike panni bayangarama troll pandrangalam,Positive
marana maaaasssaaa  thala  i am waiting,Positive
pongal vanda paka thane pora  petta paraak,Positive
rajini  vijay sethupathi,Positive
aduchu underwear oda oda vitruvasema dilog thalaivaaa,Positive
bigil super aah kaithi super vrummbinavanga like pannungo,Positive
nee vaa thalaiva inna adichukka aalu illa  i am rajinified you r back thalaiva,Positive
ennada likes views innum sari aakalaya k like thaan erukku,Positive
super  super  super rajani mass ssssssssssssssssssssssssssss man,Positive
sam cs bgm              thananananaaa thanananana      thaararaa thaararaaa,Positive
suyama yosikira ovorthanu super hero than sk anna on,Mixed_feelings
ne vilayaadunathu ea kitta ilayeman kittakola mass trailarchiyan vera level pa,Negative
petta pongal     edhu marana mass,Positive
thala ungala pathale pothumkadaule  evlo alagu ungala adichuka evarum illa,Positive
its looks like pink movie of tapsi and amitabh,Mixed_feelings
oru fight mattum thala kaga special vechi irukanga  except tat it looks like scene to scene remake,Positive
bigil  a vida  kaithi semaya  irukku  endravainga  like ,Positive
vinoth sir vera level  evlavu nall enga sir irunthenka powli marana mass  ,Positive
it works  it will work,Positive
bgm vera level a eruku movie expectation athigama aaite eruke,Mixed_feelings
suriya vs chiyaan vikram  kaapaan vs kadaram kondan  vikram fans hit like here  suriya fans reply me,Positive
thirumba thirumba pakkuravanga mattum like podunga,Positive
ellam avan seyal movie mariye iruku,Positive
padayappa padam varumpothu enaku  vayasu irukum athula irunthu thalaivaroda veriyan na,Positive
sivakarthikeyan  yuvan shankar raja       r fans hit like,Positive
petta padathukku wait pannravanga like pannuga visvasam waiters comment pannugaplease,Positive
innimadhan aarambam thala let us c our rage,Positive
vera level thalaivaruku asuran marana waiting,Positive
really fabulous semma trailer jai thalivaaaa love you thalivaaaa sir,Positive
enapa vera level la irukupadam blockbuster polayeee,Positive
twinkle twinkle little star  rajini is the superstar  dhoooollllmmmaaaaaaaa how is it superuuu,Mixed_feelings
viswasam mass ner konda  paarvai ,Positive
lokesh movie kaithi massa irukum pola,Positive
yaro hostel wardena marana katte katetten love from kerala,unknown_state
thaavera level trailer batman super man spider man lam enga chitti munnadi sappa pasanga  ,Positive
k dislike sure all vijay fans,Mixed_feelings
after avengers end game movie vjs voice ketathula iruntha avaroda padam odalanu agree pannringa,Negative
that madurai backdrop rajini looks like sudhakar parithabangal,Positive
semma namma kita irunthu         mttum yaralaiyu yeduthuka mudiyathu,Positive
thala thala thala thala thala  thala thala  thala thala thala               ,Positive
thala ena oru verithanam kovam,Positive
vara level dialogue thank you thala,Positive
get ready for some petta paraak,Positive
thala vera level seekiram vanga thala,Mixed_feelings
thala vanthalay pothum daa theatre ah athirum daa thala naa mass  thala naa class  thala naa gethu thala naa goosebumps,Positive
rajini is great but the film looks like kaala part  mokkai,Mixed_feelings
vera level vetrimaran sir oda adudha veriiiiii,Positive
maarana mass  trailer  from malaysia,Positive
thanks karthik sir  super ultimate trailer,Positive
hvinoth after  years gundu thaayoli name changed our ajith movie siruthaisivaa,Negative
 vs zero ,Negative
sirappana tharamana sampavam inemaythan nadakkapovuthu spr,Mixed_feelings
kandipa padam flop reason soori    and the great villan pakara apo ve sema bayama iruku,Mixed_feelings
super thalaiva palaiya rajini one more entry on super stars,Positive
semma thala  thala veriyargal hit likes,Mixed_feelings
bgm bangam yuvan thala always on fire,Negative
